traditional spelling,soundSpel,short note,alternates,British,long notes,
absorbency,absorbensy,,
absorbent,absorbent,,
absorbents,absorbents,,
absorber,absorber,,
absorbers,absorbers,,
absorbing,absorbing,,
absorbingly,absorbingly,,
absorbs,absorbs,,
absorption,absorpshon,,
absorptions,absorpshons,,
absorptive,absorptiv,,
absorptively,absorptivly,,
abstain,abstaen,,
abstained,abstaend,,
abstaining,abstaening,,
abstains,abstaens,,
abstemious,absteemius,,
abstention,abstenshon,,
abstentions,abstenshons,,
abstinence,abstinenss,,
abstinent,abstinent,,
abstinently,abstinently,,
abstract,abstrakt,,
abstracted,abstrakted,,
abstracting,abstrakting,,
abstraction,abstrakshon,,
abstractions,abstrakshons,,
abstractive,abstraktiv,,
abstractively,abstraktivly,*,
abstracts,abstrakts,,
abstruse,abstrooss,,
abstrusely,abstroosly,,
abstruseness,abstroosnes,,
absurd,absurd,,
absurdity,absurdity,,
absurdly,absurdly,,
absurdness,absurdnes,,
abuse,abuess,,
abuse,abuez,,
abused,abuezd,,
abuses,abuezes,,
abusing,abuezing,,
abusive,abuesiv,,
abusively,abuesivly,,
abut,abut,,
abysmal,abizmal,,
abysmally,abizmaly,,
abyss,abis,,
accord,acord,,
accorded,acorded,,
according,acording,,
accordingly,acordingly,,
accords,acords,,
accumulate,acuemulaet,,
accumulated,acuemulaeted,,
accumulates,acuemulaets,,
accumulating,acuemulaeting,,
accumulation,acuemulaeshon,,
accumulations,acuemulaeshons,,
accumulator,acuemulaetor,,
accumulators,acuemulaetors,,
ace,aess,,
acerbic,asurbik,,
acerbically,asurbikaly,,
acerbity,asurbity,,
aces,aeses,,
acetate,asetaet,,
acetic,aseetik,,
acetone,asetoen,,
acetonemia,asetoeneemia,,
acetylene,asetileen,,
ache,aek,,
ached,aekt,,
aches,aeks,,
achieve,acheev,,
achieved,acheevd,,
achievement,acheevment,,
achievements,acheevments,,
achieves,acheevs,,
achieving,acheeving,,
aching,aeking,,
achromatic,aecromatik,*,
achromatically,aecromatikaly,,
acid,asid,,
acidhead,asidhed,,
acidification,asidificaeshon,,
acidified,asidified,,
acidify,asidifi,,
acidity,asidity,,
acidosis,asidoesis,,
acids,asids,,
acidulate,asijulaet,,
acidulous,asijulus,,
acknowledge,aknolej,,
acknowledged,aknolejd,,
acknowledgement,aknolejment,,
acknowledgements,aknolejments,,
acknowledges,aknolejes,,
acknowledging,aknolejing,,
acme,akmy,,
acmes,akmys,,
acne,akny,,
acolyte,acoliet,,
acolytes,acoliets,,
aconite,aconiet,,
aconites,aconiets,,
acorn,aecorn,,
acorns,aecorns,,
acoustic,acoostik,,
acoustical,acoostikal,,
acoustically,acoostikaly,,
acoustician,acoostishan,,
acousticians,acoostishans,,
acoustics,acoostiks,,
acquaint,aqaent,,
acquaintance,aqaentanss,,
acquainted,aqaented,,
acquaints,aqaents,,
acquiesce,aqi’ess,*,
acquiesced,aqi’est,,
acquiescence,aqi’esenss,*,
acquiescent,aqi’esent,,
acquire,aqier,,
acquired,aqierd,,
acquires,aqiers,,
acquiring,aqiering,,
acquisition,aqizishon,,
acquisitions,aqizishons,,
acquisitive,aqizitiv,,
acquisitively,aqizitivly,,
acquisitiveness,aqizitivnes,,
acquit,aqit,,
acquits,aqits,,
acquittal,aqital,,
acquittals,aqitals,,
acquitted,aqited,,
acquitting,aqiting,,
acre,aeker,,
acreage,aecrej,,
acreages,aecrejes,,
acres,aekers,,
acrid,acrid,,
acridity,acridity,,
acrimonious,acrimoenius,,
acrimony,acrimoeny,,
acrobat,acrobat,,
acrobatic,acrobatik,,
acrobatics,acrobatiks,,
acrobats,acrobats,,
acronym,acronim,,
acronyms,acronims,,
acropolis,acropolis,,
across,acros,*,
acrostic,acrostik,*,
acrylic,acrilik,*,
act,akt,,
acted,akted,,
acting,akting,,
actinic,aktinik,,
actinometer,aktinometer,,
actinometers,aktinometers,,
action,akshon,*,
actionable,akshonabl,,
actions,akshons,*,
activate,aktivaet,*,
activated,aktivaeted,,
activates,aktivaets,,
activating,aktivaeting,,
activation,aktivaeshon,,
activations,aktivaeshons,*,
active,aktiv,*,
actively,aktivly,,
activism,aktivizm,,
activist,aktivist,,
activists,aktivists,,
activities,aktivitys,,
activity,aktivity,,
actor,aktor,*,
actors,aktors,,
actress,aktres,,
actresses,aktreses,,
acts,akts,*,
actual,akchual,*,
actualities,akchualitys,,
actuality,akchuality,,
actually,akchualy,,
actuarial,akchuaerial,,
actuarially,akchuaerialy,,
actuaries,akchuaerys,,
actuary,akchuaery,,
actuate,akchuaet,,
actuated,akchuaeted,,
actuating,akchuaeting,*,
acuity,acueity,,
acumen,acuemen,,
acupuncture,acuepunkcher,,
acupunctures,acuepunkchers,,
acupuncturist,acuepunkcherist,,
acupuncturists,acuepunkcherists,,
acute,acuet,,
acutely,acuetly,,
acuteness,acuetnes,,
ad,ad,,
adage,adej,,
adages,adejes,,
adagio,adaajo,,
adagios,adaajoes,,
Adam,Adam,,
adamant,adamant,,
adamantly,adamantly,,
adapt,adapt,,
adaptability,adaptability,,
adaptable,adaptabl,,
adaptation,adaptaeshon,,
adaptations,adaptaeshons,,
adapted,adapted,,
adapter,adapter,,
adapters,adapters,,
adapting,adapting,,
add,ad,,
added,aded,,
addend,adend,,
addenda,adenda,,
addends,adends,,
addendum,adendum,,
addendums,adendums,,
adder,ader,,
addict,adikt,,
addicting,adikting,,
addiction,adikshon,,
addictions,adikshons,,
addictive,adiktiv,,
addictively,adiktivly,,
addictiveness,adiktivnes,,
adding,ading,,
addition,adishon,,
additional,adishonal,,
additionally,adishonally,,
additive,aditiv,,
additives,aditivs,,
addle,adl,,
addled,adld,,
addles,adls,,
addling,adling,,
address,adres,,
addressed,adrest,,
addresses,adreses,,
addressing,adresing,,
adduce,aduess,,
adduced,aduest,,
adduces,adueses,,
adducing,aduesing,,
adept,adept,,
adepts,adepts,,
adequacy,adeqasy,,
adequate,adeqat,*,
adequately,adeqatly,,
adhere,adheer,,
adhered,adheerd,,
adherence,adheerenss,,
adherent,adheerent,,
adherents,adheerents,,
adheres,adheers,,
adhering,adheers,,
adhesion,adheezhon,,
adhesive,adheesiv,,
adhesively,adheesivly,,
adhesives,adheesivs,,
adjacent,ajaesent,,
adjectival,ajektieval,,
adjectivally,ajektievaly,,
adjective,ajektiv,,
adjectives,ajektivs,,
adjoin,ajoin,,
adjoined,ajoind,,
adjoining,ajoining,,
adjoins,ajoins,,
adjourn,ajurn,,
adjourned,ajurnd,,
adjourning,ajurning,,
adjournment,ajurnment,,
adjournments,ajurnments,,
adjourns,ajurns,,
adjudge,ajuj,,
adjudged,ajujd,,
adjudging,ajujing,,
adjudicate,ajoodicaet,,
adjudicated,ajoodicaeted,,
adjudicates,ajoodicaets,,
adjudicating,ajoodicaeting,,
adjudication,ajoodicaeshon,,
adjudications,ajoodicaeshons,,
adjudicator,ajoodicaetor,,
adjudicators,ajoodicaetors,,
adjunct,ajunkt,,
adjuncts,ajunkts,,
adjuration,ajuuraeshon,,
adjure,ajuur,,
adjust,ajust,,
adjustable,ajustabl,,
adjusted,ajusted,,
adjusting,ajusting,,
adjustment,ajustment,,
adjustments,ajustments,,
adjusts,ajusts,,
adjutant,ajutant,*,
adjutants,ajutants,,
admeasure,admezher,,
administer,administer,,
administered,administerd,,
administering,administering,,
administers,administers,,
administration,administraeshon,,
administations,administraeshons,,
administrative,administraetiv,,
administrator,administraetor,,
administrators,administraetors,,
admirable,admerabl,*,
admirably,admerably,*,
admiral,admeral,*,
admirals,admerals,*,
admiralty,admeralty,*,
admiration,admeraeshon,*,
admire,admier,,
admired,admierd,,
admirer,admierer,,
admirers,admierers,,
admiring,admiering,,
admiringly,admieringly,,
admissibility,admisibility,,
admissible,admisibl,,
admission,admishon,,
admissions,admishon,,
admit,admit,,
admits,admits,,
admittance,admitanss,,
admitted,admited,,
admittedly,admitedy,,
admitting,admiting,,
admixed,admixt,,
admixture,admixcher,,
admixtures,admixchers,,
admonish,admonish,,
admonished,admonisht,,
admonishing,admonishing,,
admonishment,admonishment,,
admonishments,admonishments,,
admonition,admonishon,,
admonitions,admonishons,,
admonitory,admonitory,,
ado,adoo,,
adobe,adoeby,,
adolescence,adolesenss,,
adolescent,adolesent,,
adolescents,adolesents,,
adopt,adopt,,
adopted,adopted,,
adopting,adopting,,
adoption,adopshon,,
adoptions,adopshons,,
adoptive,adoptiv,,
adopts,adopts,,
adorable,adorabl,,
adore,ador,,
adored,adord,,
adores,adors,,
adoring,adoring,,
adorn,adorn,,
adorned,adornd,,
adornment,adornment,,
adorn,adorn,,
adrenal,adreenal,,
adrenaline,adrenalin,,
adrift,adrift,,
adroit,adroit,,
adroitness,adroitnes,,
ads,ads,,
adsorb,adsorb,,
adsorbed,adsorbd,,
adsorption,adsorpshon,,
adsorptions,adsorpshons,,
adulate,adjulaet,*,
adulated,adjulaeted,*,
adulates,adjulaets,*,
adulating,adjulaeting,*,
adulation,adjulaeshon,*,
adulations,adjulaeshons,*,
adult,adult,,
adulterant,adulterant,,
adulterants,adulterants,,
adulterate,adulteraet,,
adulterated,adulteraetd,,
adulteration,adulteraeshon,,
adulterer,adulterer,,
adulterers,adulterers,,
adulterous,adulterus,,
adultery,adultery,,
adulthood,adulthuud,,
adults,adults,,
adumbrate,adumbraet,,
adumbration,adumbraeshon,,
advance,advanss,,
advanced,advanst,,
advancement,advansment,,
advancements,advansments,,
advances,advanses,,
advancing,advansing,,
advantage,advantej,*,
advantageous,advantaejus,,
advantageously,advantaejusly,,
advantages,advantejes,,
advent,advent,,
Adventist,Adventist,,
Adventists,Adventists,,
adventitious,adventishus,,
adventure,advencher,,
adventurer,advencherer,,
adventurers,advencherers,,
adventures,advenchers,,
adventures,advenchers,,
adventuresome,advenchersum,,
adventuring,advenchering,,
adventurous,advencherus,,
adventurously,advencherusly,,
adverb,adverb,,
adverbial,advurbial,,
adverbs,adverbs,,
adversaries,adversaerys,*,
adversary,adversaery,*,
adverse,advurss,,
adversely,advursly,,
adversity,advursity,,
advert,advert,,
advertisement,advertiezment,,
advertisement,advurtisment,,
aerate,aeraet,,
aerated,aeraeted,,
aerates,aeraets,,
aerating,aeraeting,,
aeration,aeraeshon,,
aes,aes,*,
afflict,aflikt,,
afflicted,aflikted,,
afflicting,aflikting,,
affliction,aflikshon,,
afflictions,aflikshons,,
afflicts,aflikts,,
aflame,aflaem,,
afraid,afraed,,
Africa,Africa,,
African,African,,
Africans,Africans,,
age,aej,,
aged,aejd,,
ageless,aejles,,
agenda,ajenda,,
agendas,ajendas,,
ages,aejes,,
agglomerate,aglomeraet,,
agglomerated,aglomeraeted,,
agglomerates,aglomeraets,,
agglomerating,aglomeraeting,,
agglomeration,aglomeraeshon,,
agglomerations,aglomeraeshons,,
agglutinate,aglootinaet,,
agglutinated,aglootinaeted,,
agglutinates,aglootinaets,,
agglutinating,aglootinaeting,,
agglutination,aglootinaeshon,,
agglutinative,aglootinaetiv,,
aggrandize,agrandiez,,
aggrandized,agrandiezd,,
aggrandizement,agrandiezment,,
aggrandizements,agrandiezments,,
aggrandizer,agrandiezer,,
aggrandizers,agrandiezers,,
aggrandizes,agrandiezes,,
aggrandizing,agrandiezing,,
aggregate,agregaet,,
aggregate,agregat,,
aggregated,agregaeted,,
aggregates,agregaets,,
aggregates,agregats,,
aggregating,agregaeting,,
aggregation,agregaeshon,,
aggregations,agregaeshons,,
aggression,agreshon,,
aggressions,agreshons,,
aggressive,agresiv,,
aggressively,agresivly,,
aggressor,agresor,,
aggressors,agresors,,
agile,ajiel,,
agile,ajil,,
agilities,ajilitys,,
agility,ajility,,
aging,aejing,,
agitate,ajitaet,,
agitated,ajitaeted,,
agitates,ajitaets,,
agitating,ajitaeting,,
agitation,ajitaeshon,,
agitations,ajitaeshons,,
agitator,ajitaetor,,
agitators,ajitaetors,,
agree,agree,,
agreeable,agreeabl,,
agreeably,agreeably,,
agreed,agreed,,
agreeing,agreeing,,
agreement,agreement,,
agreements,agreements,,
agrees,agrees,,
agricultural,agriculcheral,,
agriculturalist,agriculcheralist,,
agriculturalists,agriculcheralists,,
agriculturally,agriculcheraly,,
agriculture,agriculcher,,
agricultures,agriculchers,,
agronomic,agronomik,,
agronomical,agronomikal,,
agronomies,agronomys,,
agronomist,agronomist,,
agronomists,agronomists,,
agronomy,agronomy,,
aid,aed,,
aided,aeded,,
aiding,aeding,,
aids,aeds,,
ail,ael,,
ailed,aeld,,
ailing,aeling,,
ails,aels,,
aim,aem,,
aimed,aemd,,
aiming,aeming,,
aimless,aemles,,
aimlessly,aemlesly,,
aims,aems,,
air,aer,,
aircraft,aercraft,,
airfare,aerfaer,,
airfares,aerfaers,,
airiness,aerynes,,
airing,aering,,
airport,aerport,,
airports,aerports,,
airs,aers,,
airy,aery,,
aisle,iel,,
aisles,iels,,
aitch,aech,,
akin,akin,,
alabaster,alabaster,,
alacrity,alacrity,,
alarm,alarm,,
alarmed,alarmd,,
alarming,alarming,,
alarmingly,alarmingly,,
alarmist,alarmist,,
alarmists,alarmists,,
alarms,alarms,,
alas,alas,,
albacore,albacor,,
albeit,aulbeeit,,
albino,albieno,,
albinos,albienoes,,
album,album,,
albumin,albuemin,,
albums,albums,,
alchemist,alkemist,,
alchemists,alkemists,,
alchemy,alkemy,,
alcohol,alcohol,,
alcoholic,alcoholik,,
alcoholics,alcoholiks,,
alcoholism,alcoholizm,,
alcoholisms,alcoholizms,,
alcohols,alcohols,,
alcove,alcoev,,
alcoves,alcoevs,,
alderman,aulderman,,
aldermen,auldermen,,
ale,ael,,
alert,alurt,,
alerted,alurted,,
alerting,alurting,,
alertly,alurtly,,
alertness,alurtnes,,
alerts,alurts,,
ales,aels,,
alewife,aelwief,,
alewives,aelwievs,,
alfa,alfa,,
alfresco,alfresco,,
algae,aljy,,
algebra,aljebra,,
algebraic,aljebraeik,,
algebraical,aljebraeikal,,
algebraically,aljebraeikaly,,
algorism,algorizm,,
algorisms,algorizms,,
algorithm,algorithm,,
algorithmic,algorithmik,,
algorithmically,algorithmikaly,,
algorithms,algorithms,,
alias,aelius,*,
alibi,alibi,,
alibied,alibied,,
alibiing,alibieing,,
alibis,alibies,,
alien,aelian,*,
alienate,aelianaet,*,
alienated,aelianaeted,*,
alienates,aelianaets,*,
alienating,aelianaeting,*,
alienation,aelianaeshon,*,
alienist,aelianist,*,
alienists,aelianists,*,
aliens,aelians,*,
alight,aliet,,
alighted,alieted,,
alighting,alieting,,
alights,aliets,,
align,alien,,
aligned,aliend,,
aligning,aliening,,
alignment,alienment,,
alignments,alienments,,
alike,aliek,,
alimentary,alimentary,*,
alimentation,alimentaeshon,,
alimony,alimoeny,,
aliquot,aliqot,*,
aliquots,aliqots,*,
alive,aliev,,
alkali,alcali,*,
alkaline,alcalien,*,
alkaloid,alcaloid,*,
alkaloids,alcaloids,*,
all,all /aul/,,
allay,alae,,
allayed,alaed,,
allaying,alaeing,,
allays,alaes,,
allegation,alegaeshon,,
allegations,alegaeshons,,
allege,alej,,
alleged,alejd,*,
allegedly,alejedly,,
alleges,alejes,,
allegiance,aleejanss,,
allegiances,aleejanses,,
alleging,alejing,,
allegoric,alegorik,,
allegorical,alegorikal,,
allegory,alegory,,
allegretti,alegrety,,
allegro,alegro,,
allemand,alemand,,
allemands,alemands,,
allergic,alurjik,,
allergies,alerjys,,
allergy,alerjy,,
alleviate,aleeviaet,,
alleviated,aleeviaeted,,
alleviates,aleeviaets,,
alleviating,aleeviaeting,,
allevation,aleeviashon,,
alley,aly,,
alleys,alys,,
alleyway,alywae,,
alleyways,alywaes,,
alliance,alieanss,,
alliances,alieanses,,
allied,alied,,
allies,alies,,
alligator,aligaetor,,
alligatored,aligaetord,,
alligators,aligaetors,,
alliteration,aliteraeshon,,
alliterations,aliteraeshons,,
alliterative,aliterativ,,
allocable,alocabl,,
allocate,alocaet,,
allocated,alocaeted,,
allocates,alocaets,,
allocating,alocaeting,,
allocation,alocaeshon,,
allocations,alocaeshons,,
allocution,alocueshon,,
allopathic,alopathik,,
allopathy,alopathy,,
allophone,alofoen,,
allophones,alofoens,,
allot,alot,,
allotment,alotment,,
allotments,alotments,,
allotted,aloted,,
allotting,aloting,,
allow,alow,,
allowable,alowabl,,
allowance,alowanss,,
allowances,alowanses,,
allowed,alowd,,
allowedly,alowedly,,
allowing,alowing,,
allows,alows,,
alloy,aloy,,
alloys,aloys,,
allude,alood,,
alluded,alooded,,
alludes,aloods,,
alluding,alooding,,
allusion,aloozhon,,
allusions,aloozhons,,
allusive,aloosiv,,
allusiveness,aloosivnes,,
alluvial,aloovial,,
ally,ali,,
allying,alieing,,
almanac,aulmanak,,
almanacs,aulmanaks,,
almighty,aulmiety,,
almond,aamund,,
almonds,aamunds,,
almost,aulmoest,,
alm,aam,,
alms,aams,,
alnico,alnico,*,
aloe,alo,,
aloes,aloes,,
aloft,aloft,*,
alone,aloen,,
aloneness,aloennes,,
along,along,,
alongside,alongsied,,
aloof,aloof,,
aloofness,aloofnes,,
aloud,aloud,,
alpha,alfa,,
alphabet,alfabet,,
alphabetic,alfabetik,,
alphabetical,alfabetikal,,
alphabetize,alfabetiez,,
alphabetized,alfabetiezd,,
alphabetizes,alfabetiezes,,
alphabetizing,alfabetiezing,,
alphabets,alfabets,,
alphanumeric,alfanuemerrik,,
already,aulredy,,
also,aulso,,
altar,aultar,,
altarpiece,aultarpeess,,
altarpieces,aultarpeeses,,
alter,aulter,,
alteration,aulteraeshon,,
alterations,aulteraeshons,,
altercation,aultercaeshon,,
altercations,aultercaeshons,,
altered,aulterd,,
altering,aultering,,
alternate,aulternaet,,
alternate,aulternat,*,
alternated,aulternaeted,,
alternately,aulternatly,,
alternates,aulternaets,,
alternating,aulternaetning,,
alternation,aulternaeshon,,
alternations,aulternaeshons,,
alternative,aulturnativ,,
alternatively,aulturnativly,,
alternatives,aulturnativs,,
alternator,aulternaetor,,
alternators,aulternaetors,,
alters,aulters,,
altho,aultho,*,
although,aultho,*,
altimeter,altimeter,*,
altitude,altitued,,
altitudes,altitueds,,
altitudinal,altituedinal,,
alto,alto,,
altogether,aultogether,,
altruism,altrooizm,,
altruist,altrooist,,
altruistic,altrooistik,,
altruistically,altrooistikaly,,
altruists,altrooists,,
alum,alum,,
aluminum,aloominum,,
alumna,alumna,,
alumnae,alumnee,*,
alumni,alumni,,
alumnus,alumnus,,
alveolar,alweoelar,*,
alveoli,alveoeli,*,
alveolus,alveoelus,*,
always,aulwaes,,
am,am,,
amalgam,amalgam,,
amalgamate,amalgamaet,,
amalgamated,amalgamaeted,,
amalgamates,amalgamaets,,
amalgamating,amalgamaeting,,
amalgamation,amalgamaeshon,,
amalgamations,amalgamaeshons,,
amalgams,amalgams,,
amass,amas,,
amassed,amast,,
amasses,amases,,
amassing,amasing,,
amateur,amacher,,
amateur,amachuur,,
amateurs,amachers,,
amateurs,amachuurs,,
amatory,amatory,,
amaze,amaez,,
amazed,amaezd,,
amazement,amaezment,,
amazements,amaezments,,
amazes,amaezes,,
amazing,amaezing,,
amazingly,amaezingly,,
ambassador,ambasador,,
ambassadors,ambasadors,,
amber,amber,,
ambergris,ambergree,*,
ambidexterity,ambidexterrity,,
ambidextrous,ambidextrus,,
ambience,ambi’enss,*,
ambient,ambi’ent,*,
ambiguities,ambigueitys,,
ambiguity,ambigueity,,
ambiguous,ambigueus,,
ambit,ambit,,
ambition,ambishon,*,
ambitions,ambishons,*,
ambitious,ambishus,,
ambitiously,ambishusly,,
ambits,ambits,,
ambivalence,ambivalenss,,
ambivalent,ambivalent,,
amble,ambl,,
ambled,ambld,,
ambles,ambls,,
ambling,ambling,,
ambrosia,ambroezha,,
ambulance,ambuelanss,,
ambulances,ambuelanses,,
ambulatory,ambuelatory,,
ambuscade,ambuscaed,,
ambuscades,ambuscaeds,,
ambush,ambuush,*,
ambushed,ambuusht,,
ambushes,ambuushes,,
ameliorate,ameelueraet,*,
ameliorated,ameeluerated,*,
ameliorates,ameelueraets,*,
amelioration,ameelueraeshon,*,
ameliorations,ameelueraeshons,*,
ameliorative,ameelueraetiv,,
amen,aaamen,,
amenable,amenabl,,
amenably,amenably,,
amend,amend,,
amended,amended,,
amending,amending,,
amendment,amendment,,
amendments,amendments,,
amends,amends,,
amenities,amenitys,,
amenity,amenity,,
amens,aamens,,
amethyst,amethist,,
amethystine,amethistin,,
amiability,aemiability,,
amiable,aemiabl,,
amicable,ameecabl,,
amicable,amicabl,,
amicably,ameecably,,
amicably,amicably,,
amid,amid,,
amidships,amidships,,
amigo,ameego,,
amino,ameeno,,
amiss,amis,,
amity,amity,,
ammo,amo,,
ammonia,amoenia,,
ammoniac,amoeniak,,
ammonium,amoenium,,
ammunition,amuenishon,,
amnesia,amneezha,,
amnesties,amnestys,,
amnesty,amnesty,,
amoeba,ameeba,,
amoebas,ameebas,,
amoebic,ameebik,,
among,amung,,
amongst,amungs,,
amoral,aemoral,*,
amorality,aemorality,*,
amorist,aemorist,*,
amorous,amorus,,
amorphous,amorfus,,
amorphously,amorfusly,,
amortization,amortizaeshon,,
amoritize,amortiez,,
amoritizing,amortiezing,,
amount,amount,,
amounted,amounted,,
amounting,amounting,,
amounts,amounts,,
amperage,amperej,,
ampere,ampeer,,
amperes,ampeers,,
ampersand,ampersand,,
ampersands,ampersands,,
amphetamine,amfetameen,,
amphetamines,amfetameens,,
amphibian,amfibian,,
amphibians,amfibians,,
amphibious,amfibius,,
amphibology,amfibolojy,,
amphitheater,amfitheeater,,
amphitheaters,amfitheeaters,,
amphora,amfora,,
amphoras,amforas,,
ample,ampl,,
amplification,amplificaeshon,,
amplifications,amplificaeshons,,
amplified,amplified,,
amplifier,amplifieer,,
amplifiers,amplifieers,,
amplifies,amplifies,,
amplify,amplifi,,
amplifying,amplifieing,,
amplitude,amplitued,,
amplitudes,amplitueds,,
amply,amply,,
amputate,ampuetaet,,
amputated,ampuetaeted,,
amputation,ampuetaeshon,,
amputations,ampuetaeshons,,
amputee,ampuetee,,
amputees,ampuetees,,
amulet,amuelet,,
amulets,amuelets,,
amuse,amuez,,
amused,amuezd,,
amusedly,amuezedly,,
amusement,amuezment,,
amusements,amuezments,,
amuses,amuezes,,
amusing,amuezing,,
amusingly,amuezingly,,
an,an,,
ancestor,ansestor,,
ancestors,ansestors,,
ancestral,ansestral,,
ancestrally,ansestraly,,
anchor,ancor,,
anchored,ancord,,
anchoring,ancoring,,
anchorite,ancoriet,,
anchorites,ancoriets,,
anchorman,ancorman,,
anchormen,ancormen,,
anchors,ancors,,
and,and,,
androgen,androjen,,
androgens,androjens,,
